HYPERTENSION,DIABETES,HIGH CHOLESTEROL,OBESITY,RENAL
62,80,63,30,85
66,58,74,81,84
67,66,57,84,80
37,71,69,55,77
22,76,77,67,81
52,81,86,43,64
76,67,61,57,66
53,87,57,85,89
80,80,77,62,65
81,69,64,68,86
86,65,80,45,89
50,56,62,52,63
38,52,68,63,56
52,64,72,75,91
81,58,80,63,46
80,51,60,57,89
64,71,64,42,66
44,62,51,43,77
60,70,77,83,83
84,78,61,83,91
84,56,49,46,55
69,70,74,63,61
79,74,76,56,72
69,68,42,74,89
53,79,77,68,77
66,72,58,44,86
72,58,90,44,60
64,69,90,46,53
49,74,71,65,71
77,84,56,63,85
79,70,61,60,77
81,76,61,71,59
47,46,60,70,63
61,76,69,66,80
62,69,72,65,58
55,65,64,40,57
77,58,89,70,82
54,56,57,75,83
42,78,86,55,84
39,38,61,68,46
76,76,48,52,77
52,74,64,71,48
90,70,63,85,46
62,76,59,62,85
69,77,83,34,62
65,61,82,49,50
73,70,59,53,72
68,67,53,29,58
82,54,95,59,84
48,77,74,52,57
46,64,41,67,85
56,52,50,68,62
59,60,58,93,65
63,74,74,79,81
59,52,57,45,62
63,91,65,63,68
60,72,83,53,82
63,72,78,59,77
52,67,57,49,42
68,77,72,79,64
33,91,54,74,74
50,49,85,66,63
50,73,61,60,73
73,74,67,64,69
58,64,81,79,71
79,71,77,57,85
86,76,38,70,86
73,70,61,63,81
62,72,48,20,75
89,68,79,66,65
70,85,64,66,73
60,61,57,74,92
55,66,78,72,85
70,60,73,75,57
60,79,88,60,87
36,63,81,74,58
57,48,60,69,82
23,63,89,81,72
57,64,73,52,75
31,44,76,61,58
59,82,85,71,89
59,71,56,72,79
71,78,72,85,80
77,54,60,56,86
84,51,80,55,58
51,61,71,66,86
85,61,70,66,84
80,80,68,67,62
63,89,69,74,84
59,82,66,59,67
66,74,65,69,47
88,45,49,57,50
83,90,71,55,68
52,67,85,47,67
71,85,63,67,64
71,29,70,73,92
78,60,66,76,78
66,54,64,66,61
97,93,73,71,48
68,93,80,58,70
62,52,60,76,57
57,57,72,65,68
55,62,74,75,65
44,63,84,78,72
66,96,67,62,40
62,94,44,49,65
63,56,48,77,50
65,74,67,76,88
38,86,75,60,87
62,83,62,69,77
71,61,74,39,87
48,76,75,55,82
62,52,82,47,91
70,56,88,92,83
66,88,69,64,96
77,72,58,61,34
68,75,81,63,49
21,70,55,68,75
63,79,92,61,81
44,75,92,73,61
53,58,76,85,48
87,60,67,40,71
86,62,46,78,40
73,58,69,81,53
86,88,59,59,88
73,60,81,70,61
78,85,105,64,78
59,74,60,59,78
63,61,48,68,84
65,97,76,53,74
32,67,62,78,81
73,91,73,75,64
54,91,52,66,58
86,75,82,69,39
74,33,70,73,85
75,67,57,75,45
74,78,63,71,56
58,57,79,69,40
77,63,66,69,80
65,76,78,53,75
68,62,53,55,66
57,64,51,62,77
61,69,70,77,85
56,85,56,53,78
70,89,65,79,44
52,70,55,47,58
82,88,76,89,82
51,88,42,54,60
75,79,46,72,79
63,88,40,75,83
74,64,50,56,57
67,41,75,76,87
51,63,77,84,85
51,61,66,58,64
37,73,28,39,73
83,61,87,50,73
63,35,86,67,39
68,78,58,65,67
75,79,71,64,84
91,58,82,51,66
69,81,70,41,57
69,71,51,64,58
66,73,69,74,60
62,76,47,57,67
66,48,69,73,82
77,79,72,59,87
70,64,74,61,74
66,83,93,86,49
83,58,68,72,74
40,61,98,67,56
56,67,51,67,87
49,62,56,27,93
57,87,54,72,64
92,78,81,47,63
58,77,65,70,83
68,74,55,55,56
56,63,79,78,81
45,77,51,59,89
79,51,68,73,80
67,72,74,74,73
68,69,60,64,81
53,45,76,81,67
57,47,61,58,44
73,51,45,69,39
74,60,82,80,90
85,52,66,53,61
37,51,78,75,65
62,51,81,69,91
