year,SEX,Diagnosis_Code,count
2013,FEMALE,E146,8
2013,FEMALE,E147,1
2013,FEMALE,E148,5
2013,FEMALE,E149,9
2013,FEMALE,E660,194
2013,FEMALE,E661,1
2013,FEMALE,E662,3
2013,FEMALE,E668,2
2013,FEMALE,E669,6
2013,FEMALE,E780,201
2013,FEMALE,E782,1
2013,FEMALE,E784,5
2013,FEMALE,E785,36
2013,FEMALE,I10X,3
2013,FEMALE,I120,8
2013,FEMALE,I129,14
2013,FEMALE,I152,1
2013,FEMALE,I158,2
2013,FEMALE,I159,12
2013,FEMALE,N170,1
2013,FEMALE,N179,1
2013,FEMALE,N188,2
2013,FEMALE,O102,1
2013,MALE,E101,1
2013,MALE,E102,1
2013,MALE,E103,2
2013,MALE,E104,1
2013,MALE,E107,1
2013,MALE,E110,3
2013,MALE,E112,3
2013,MALE,E113,4
2013,MALE,E114,4
2013,MALE,E116,3
2013,MALE,E117,4
2013,MALE,E120,1
2013,MALE,E121,2
2013,MALE,E122,2
2013,MALE,E123,1
2013,MALE,E126,2
2013,MALE,E127,4
2013,MALE,E128,2
2013,MALE,E129,3
2013,MALE,E133,1
2013,MALE,E136,1
2013,MALE,E138,4
2013,MALE,E142,5
2013,MALE,E143,1
2013,MALE,E144,3
2013,MALE,E145,2
2013,MALE,E146,12
2013,MALE,E147,1
2013,MALE,E148,1
2013,MALE,E149,9
2013,MALE,E660,116
2013,MALE,E662,4
2013,MALE,E668,1
2013,MALE,E669,2
2013,MALE,E780,168
2013,MALE,E782,4
2013,MALE,E784,2
2013,MALE,E785,33
2013,MALE,I10X,2
2013,MALE,I120,21
2013,MALE,I129,37
2013,MALE,I151,1
2013,MALE,I159,9
2013,MALE,N171,1
2013,MALE,N179,5
2013,MALE,N188,3
2014,FEMALE,E101,2
2014,FEMALE,E102,1
2014,FEMALE,E103,2
2014,FEMALE,E104,1
2014,FEMALE,E107,6
2014,FEMALE,E110,2
2014,FEMALE,E111,8
2014,FEMALE,E112,2
2014,FEMALE,E113,1
2014,FEMALE,E114,3
2014,FEMALE,E116,13
2014,FEMALE,E117,1
2014,FEMALE,E120,8
2014,FEMALE,E121,1
2014,FEMALE,E122,2
2014,FEMALE,E125,1
2014,FEMALE,E126,1
2014,FEMALE,E127,3
2014,FEMALE,E129,2
2014,FEMALE,E135,1
2014,FEMALE,E136,24
2014,FEMALE,E138,1
2014,FEMALE,E141,1
2014,FEMALE,E143,1
2014,FEMALE,E145,1
2014,FEMALE,E146,7
2014,FEMALE,E148,3
2014,FEMALE,E149,1
2014,FEMALE,E660,180
2014,FEMALE,E661,1
2014,FEMALE,E662,10
2014,FEMALE,E668,2
2014,FEMALE,E669,5
2014,FEMALE,E780,229
2014,FEMALE,E782,1
2014,FEMALE,E784,3
2014,FEMALE,E785,36
2014,FEMALE,I10X,5
2014,FEMALE,I120,2
2014,FEMALE,I129,6
2014,FEMALE,I152,2
2014,FEMALE,I158,7
2014,FEMALE,I159,15
2014,FEMALE,N159,4
2014,FEMALE,N188,1
2014,FEMALE,O102,2
2014,MALE,E100,1
2014,MALE,E101,4
2014,MALE,E102,3
2014,MALE,E104,1
2014,MALE,E107,4
2014,MALE,E111,7
2014,MALE,E112,6
2014,MALE,E113,3
2014,MALE,E114,7
2014,MALE,E116,6
2014,MALE,E117,2
2014,MALE,E118,1
2014,MALE,E119,1
2014,MALE,E120,8
2014,MALE,E121,1
2014,MALE,E122,5
2014,MALE,E124,1
2014,MALE,E126,2
2014,MALE,E127,2
2014,MALE,E128,2
2014,MALE,E129,1
2014,MALE,E136,22
2014,MALE,E137,1
2014,MALE,E143,1
2014,MALE,E144,1
2014,MALE,E146,5
2014,MALE,E148,5
2014,MALE,E149,2
2014,MALE,E660,122
2014,MALE,E661,1
2014,MALE,E662,3
2014,MALE,E668,1
2014,MALE,E669,4
2014,MALE,E780,169
2014,MALE,E784,3
2014,MALE,E785,43
2014,MALE,I10X,4
2014,MALE,I120,7
2014,MALE,I129,9
2014,MALE,I151,2
2014,MALE,I152,1
2014,MALE,I158,6
2014,MALE,I159,7
2014,MALE,N179,12
2014,MALE,N188,3
2014,MALE,O102,1
2015,FEMALE,E101,1
2015,FEMALE,E103,2
2015,FEMALE,E104,7
2015,FEMALE,E106,1
2015,FEMALE,E107,3
2015,FEMALE,E110,3
2015,FEMALE,E111,13
2015,FEMALE,E112,2
2015,FEMALE,E113,2
2015,FEMALE,E114,7
2015,FEMALE,E116,10
2015,FEMALE,E117,6
2015,FEMALE,E118,1
2015,FEMALE,E120,4
2015,FEMALE,E121,1
2015,FEMALE,E122,1
2015,FEMALE,E123,1
2015,FEMALE,E127,2
2015,FEMALE,E129,2
2015,FEMALE,E133,4
2015,FEMALE,E136,4
2015,FEMALE,E138,1
2015,FEMALE,E139,1
2015,FEMALE,E140,1
2015,FEMALE,E142,1
2015,FEMALE,E143,3
2015,FEMALE,E146,4
2015,FEMALE,E147,1
2015,FEMALE,E148,4
2015,FEMALE,E149,2
2015,FEMALE,E660,132
2015,FEMALE,E661,1
2015,FEMALE,E662,4
2015,FEMALE,E668,3
2015,FEMALE,E669,4
2015,FEMALE,E780,121
2015,FEMALE,E782,4
2015,FEMALE,E784,2
2015,FEMALE,E785,51
2015,FEMALE,I10X,12
2015,FEMALE,I120,4
2015,FEMALE,I129,8
2015,FEMALE,I151,1
2015,FEMALE,I152,2
2015,FEMALE,I158,4
2015,FEMALE,I159,22
2015,FEMALE,N179,4
2015,FEMALE,N188,3
2015,MALE,E100,1
2015,MALE,E102,4
2015,MALE,E103,6
2015,MALE,E104,7
2015,MALE,E107,4
2015,MALE,E110,1
2015,MALE,E111,8
2015,MALE,E112,4
2015,MALE,E113,2
2015,MALE,E114,5
2015,MALE,E116,11
2015,MALE,E117,2
2015,MALE,E118,1
2015,MALE,E120,6
2015,MALE,E122,1
2015,MALE,E123,2
2015,MALE,E125,1
2015,MALE,E128,1
2015,MALE,E129,5
2015,MALE,E132,3
2015,MALE,E133,4
2015,MALE,E136,4
2015,MALE,E137,1
2015,MALE,E138,2
2015,MALE,E140,1
2015,MALE,E142,3
2015,MALE,E144,2
2015,MALE,E145,2
2015,MALE,E146,7
2015,MALE,E148,4
2015,MALE,E149,12
2015,MALE,E660,87
2015,MALE,E661,2
2015,MALE,E662,1
2015,MALE,E668,2
2015,MALE,E669,6
2015,MALE,E780,99
2015,MALE,E784,7
2015,MALE,E785,62
2015,MALE,I10X,5
2015,MALE,I120,13
2015,MALE,I129,18
2015,MALE,I152,3
2015,MALE,I158,2
2015,MALE,I159,11
2015,MALE,N159,1
2015,MALE,N179,7
2015,MALE,N180,1
2015,MALE,N188,4
2016,FEMALE,E101,2
2016,FEMALE,E102,1
2016,FEMALE,E103,1
2016,FEMALE,E104,4
2016,FEMALE,E105,1
2016,FEMALE,E106,1
2016,FEMALE,E107,2
2016,FEMALE,E110,4
2016,FEMALE,E112,2
2016,FEMALE,E113,2
2016,FEMALE,E114,9
2016,FEMALE,E116,26
2016,FEMALE,E117,1
2016,FEMALE,E118,1
